Admin,Masuk form penjualan,25 September 2012,13:58:59
Admin,Masuk form pembelian,25 September 2012,13:59:00
Admin,Berhasil login.,25 September 2012,13:59:01
Admin,Masuk form pengambilan pengguna,25 September 2012,13:59:17
Admin,Keluar program,25 September 2012,13:59:50
Admin,Masuk form penjualan,25 September 2012,13:59:55
Admin,Masuk form pembelian,25 September 2012,13:59:56
Admin,Berhasil login.,25 September 2012,13:59:56
Admin,Keluar program,25 September 2012,14:00:38
Admin,Masuk form penjualan,26 September 2012,05:12:17
Admin,Masuk form pembelian,26 September 2012,05:12:18
Admin,Berhasil login.,26 September 2012,05:12:18
Admin,Keluar program,26 September 2012,05:12:18
Admin,Masuk form penjualan,26 September 2012,05:12:25
Admin,Masuk form pembelian,26 September 2012,05:12:26
Admin,Berhasil login.,26 September 2012,05:12:26
Admin,Keluar program,26 September 2012,05:12:27
Admin,Masuk form penjualan,26 September 2012,05:36:44
Admin,Masuk form pembelian,26 September 2012,05:36:45
Admin,Berhasil login.,26 September 2012,05:36:45
Admin,Masuk form pengambilan pengguna,26 September 2012,05:36:53
Admin,Masuk form penjualan,26 September 2012,19:18:31
Admin,Masuk form pembelian,26 September 2012,19:18:33
Admin,Berhasil login.,26 September 2012,19:18:33
Admin,Masuk form pembelian,26 September 2012,19:19:36
Admin,Keluar program,26 September 2012,19:19:44
Admin,Masuk form penjualan,26 September 2012,19:20:57
Admin,Masuk form pembelian,26 September 2012,19:20:58
Admin,Berhasil login.,26 September 2012,19:20:58
Admin,Keluar program,26 September 2012,19:21:02
Admin,Masuk form penjualan,26 September 2012,19:21:37
Admin,Masuk form pembelian,26 September 2012,19:21:38
Admin,Berhasil login.,26 September 2012,19:21:38
Admin,Masuk form penjualan,26 September 2012,19:23:02
Admin,Keluar program,26 September 2012,19:24:30
Admin,Masuk form penjualan,26 September 2012,19:25:16
Admin,Masuk form pembelian,26 September 2012,19:25:16
Admin,Berhasil login.,26 September 2012,19:25:16
Admin,Masuk form penjualan,26 September 2012,19:25:36
Admin,Masuk form penjualan,26 September 2012,19:37:05
Admin,Masuk form pembelian,26 September 2012,19:37:06
Admin,Berhasil login.,26 September 2012,19:37:06
Admin,Masuk form penjualan,26 September 2012,19:38:28
Admin,Masuk form penjualan,26 September 2012,19:40:25
Admin,Keluar program,26 September 2012,19:44:38
Admin,Masuk form penjualan,26 September 2012,19:45:08
Admin,Masuk form pembelian,26 September 2012,19:45:09
Admin,Berhasil login.,26 September 2012,19:45:09
Admin,Masuk form penjualan,26 September 2012,19:46:45
Admin,Masuk form barang,26 September 2012,19:49:07
Admin,Masuk form pengambilan pengguna,26 September 2012,19:49:41
Admin,Keluar program,26 September 2012,19:50:01
Kasir,Masuk form penjualan,26 September 2012,19:50:09
Kasir,Masuk form pembelian,26 September 2012,19:50:09
Kasir,Berhasil login.,26 September 2012,19:50:09
Kasir,Masuk form penjualan,26 September 2012,19:50:35
Kasir,Masuk form pembelian,26 September 2012,19:53:42
Kasir,Masuk form penjualan,26 September 2012,19:55:05
Kasir,Masuk form penjualan,26 September 2012,19:55:42
Kasir,Masuk form penjualan,26 September 2012,19:56:30
Kasir,Keluar program,26 September 2012,19:56:44
Admin,Masuk form penjualan,26 September 2012,19:56:54
Admin,Masuk form pembelian,26 September 2012,19:56:55
Admin,Berhasil login.,26 September 2012,19:56:55
Admin,Masuk form pengambilan pengguna,26 September 2012,19:56:56
Admin,Masuk form Pelanggan,26 September 2012,19:57:29
Admin,Masuk form pengambilan pengguna,26 September 2012,19:57:53
Admin,Masuk form barang,26 September 2012,19:58:42
Admin,Masuk form penjualan,26 September 2012,20:00:28
Admin,Masuk form barang,26 September 2012,20:01:06
Admin,Masuk form penjualan,26 September 2012,20:01:47
Admin,Masuk form barang,26 September 2012,20:03:21
Admin,Masuk form pelanggan,26 September 2012,20:06:21
Admin,Masuk form barang,26 September 2012,20:06:26
Admin,Masuk form pembelian,26 September 2012,20:07:05
Admin,Masuk form supplier,26 September 2012,20:10:46
Admin,Masuk form Pelanggan,26 September 2012,20:10:51
Admin,Masuk form pembelian,26 September 2012,20:11:10
Admin,Masuk form penjualan,26 September 2012,20:16:42
